COMMENT;CCSDS_OEM_VERS = 2.0
COMMENT;CREATION_DATE  = 2023-03-21T01:10:06.984
COMMENT;ORIGINATOR     = NASA/JSC/FOD/TOPO
COMMENT;META_START
COMMENT;OBJECT_NAME          = ISS
COMMENT;OBJECT_ID            = 1998-067-A
COMMENT;CENTER_NAME          = Earth
COMMENT;REF_FRAME            = EME2000
COMMENT;TIME_SYSTEM          = UTC
COMMENT;START_TIME           = 2023-03-20T12:00:00.000
COMMENT;USEABLE_START_TIME   = 2023-03-20T12:00:00.000
COMMENT;USEABLE_STOP_TIME    = 2023-04-04T12:00:00.000
COMMENT;STOP_TIME            = 2023-04-04T12:00:00.000
COMMENT;META_STOP
COMMENT;Source: This file was produced by the TOPO office within FOD at JSC.
COMMENT;Units are in kg and m^2
COMMENT;MASS=473832.00
COMMENT;DRAG_AREA=1421.50
COMMENT;DRAG_COEFF=2.25
COMMENT;SOLAR_RAD_AREA=0.00
COMMENT;SOLAR_RAD_COEFF=0.00
COMMENT;Orbits start at the ascending node epoch
COMMENT;ISS first asc. node: EPOCH = 2023-03-20T12:47:39.472 $ ORBIT = 2803 $ LAN(DEG) = 38.04199
COMMENT;ISS last asc. node : EPOCH = 2023-04-04T11:53:48.380 $ ORBIT = 3035 $ LAN(DEG) = -37.31100
COMMENT;Begin sequence of events
COMMENT;TRAJECTORY EVENT SUMMARY:
COMMENT;
COMMENT;|       EVENT        |       TIG        | ORB |   DV    |   HA    |   HP    |
COMMENT;|                    |       GMT        |     |   M/S   |   KM    |   KM    |
COMMENT;|                    |                  |     |  (F/S)  |  (NM)   |  (NM)   |
COMMENT;=============================================================================
COMMENT; 68S Undocking         087:09:57:30.000             0.0     426.2     408.6
COMMENT;                                                   (0.0)   (230.1)   (220.6)
COMMENT;
COMMENT; GMT 089 Cygnus Reb    089:16:48:00.000             0.7     425.6     408.7
COMMENT;                                                   (2.3)   (229.8)   (220.7)
COMMENT;
COMMENT;=============================================================================
COMMENT;
2023-03-20 13:52:00;1287.802417137490;-4428.495069095290;-5002.997360718480;6.07613163549688;4.13887288363291;-2.10481959657156
2023-03-20 13:56:00;2681.967210010930;-3287.202444161380;-5320.828519426630;5.47155201028459;5.31407795344077;-0.52788261862794
2023-03-20 14:00:00;3882.487852652650;-1908.543845517440;-5253.369474026370;4.47215482775311;6.10511124004493;1.08661373755420
2023-03-20 14:04:00;4802.670061252590;-392.085075918178;-4805.519776111530;3.14937776495965;6.45547850902467;2.62296800156936
2023-03-20 14:08:00;5375.813916974580;1152.688555913300;-4009.461339526730;1.59747678314978;6.33947731270702;3.97078427720175
2023-03-20 14:12:00;5559.989467953670;2614.034877867430;-2922.500156024040;-0.07247738684244;5.76422476701380;5.03230794438914
2023-03-20 14:16:00;5341.216352150630;3885.907079987140;-1623.163471028630;-1.74000151666246;4.76989313828317;5.72957633756561
2023-03-20 14:20:00;4734.716226482890;4875.667699408970;-205.691713706529;-3.28370542956033;3.42749245444635;6.01051417405907
2023-03-20 14:24:00;3784.044805331890;5510.980063409370;1226.752769173190;-4.59040028113351;1.83419412030406;5.85340734845519
2023-03-20 14:28:00;2558.041312599040;5745.280149849470;2569.668415105980;-5.56395113422272;0.10623124536060;5.26892968987799
2023-03-20 14:32:00;1145.814072617010;5561.309519234490;3724.971017454360;-6.13268518228908;-1.62998605998342;4.29955991297276
2023-03-20 14:36:00;-349.836170203657;4972.405392243300;4608.279242403650;-6.25488315190119;-3.24751945517172;3.01623892567852
2023-03-20 14:40:00;-1820.011010540800;4021.474768651000;5155.117457851230;-5.92170488851081;-4.62845571104956;1.51283612908470
2023-03-20 14:44:00;-3157.682143570370;2777.769293836040;5325.583129639820;-5.15741916122701;-5.67243220294986;-0.10101998841143
2023-03-20 14:48:00;-4265.445475657810;1331.814083129770;5107.193819155070;-4.01745671761129;-6.30357451700850;-1.70782074863609
