Datum;Laenge;Breite;Abstand;Laenge rad;Breite rad;x;y;r
2018-Oct-31;66.2542;-1.3634;0.25323768;1.156353933;-0.023795819;0.101944776;0.231733207;0.253165986
2018-Nov-01;75.1856;-0.8691;0.231238603;1.31223627;-0.015168657;0.059118305;0.223526319;0.231212001
2018-Nov-02;85.9357;-0.2471;0.210483827;1.49986091;-0.004312709;0.014918101;0.209952537;0.21048187
2018-Nov-03;98.8944;0.5122;0.192034432;1.726032892;0.008939576;-0.029689991;0.189717633;0.192026759
2018-Nov-04;114.303;1.3778;0.177369832;1.994963695;0.024047146;-0.072977592;0.161604888;0.177318551
2018-Nov-05;131.939;2.2429;0.168231185;2.302769962;0.03914599;-0.112349331;0.12504404;0.168102302
2018-Nov-06;150.8181;2.933;0.166065961;2.632272417;0.051190507;-0.144798303;0.080865017;0.165848423
2018-Nov-07;169.3723;3.3041;0.171267286;2.956104297;0.057667424;-0.168049603;0.031533726;0.170982587
2018-Nov-08;186.1943;3.3446;0.182922604;3.249703583;0.058374282;-0.181544896;-0.019703813;0.182611033
2018-Nov-09;200.6143;3.1513;0.19936846;3.501380062;0.055000561;-0.186321063;-0.070086561;0.199066985
2018-Nov-10;212.6382;2.8377;0.218931337;3.711236706;0.049527208;-0.18413448;-0.117931962;0.218662879
2018-Nov-11;222.5982;2.4828;0.240305643;3.885071499;0.043333035;-0.176727339;-0.162498872;0.240080061
2018-Nov-12;230.8929;2.1295;0.262593873;4.029841324;0.037166786;-0.165522465;-0.203623787;0.262412525
2018-Nov-13;237.8763;1.797;0.285215849;4.151724647;0.031363567;-0.151588638;-0.241431091;0.285075581
2018-Nov-14;243.8307;1.4922;0.307807413;4.255648532;0.026043803;-0.135704736;-0.276161871;0.307703029
2018-Nov-15;248.9731;1.2159;0.330143788;4.345400344;0.021221458;-0.118430972;-0.30809081;0.330069451
2018-Nov-16;253.4677;0.9662;0.35208845;4.423845912;0.016863371;-0.100174575;-0.337484936;0.352038389
2018-Nov-17;257.4393;0.7405;0.37356059;4.493163409;0.012924163;-0.081232854;-0.364589399;0.373529391
2018-Nov-18;260.9834;0.5361;0.394514676;4.555019623;0.00935671;-0.061825877;-0.389622593;0.394497407
2018-Nov-19;264.174;0.3502;0.414927618;4.610706098;0.006112143;-0.042117582;-0.412776702;0.414919867
2018-Nov-20;267.069;0.1806;0.434790627;4.66123338;0.003152065;-0.022232166;-0.434219693;0.434788467
2018-Nov-21;269.7142;0.0253;0.454104017;4.707400829;0.000441568;-0.00226513;-0.454098323;0.454103973
2018-Nov-22;272.1464;-0.1176;0.472873837;4.749850727;-0.002052507;0.0177105;-0.472541069;0.472872841
2018-Nov-23;274.3954;-0.2496;0.491109682;4.789103182;-0.004356342;0.037637788;-0.489660637;0.491105022
2018-Nov-24;276.4856;-0.3719;0.508823246;4.825584054;-0.006490879;0.057472155;-0.505556268;0.508812528
2018-Nov-25;278.4371;-0.4856;0.526027377;4.859644155;-0.008475319;0.077177842;-0.520315776;0.526008485
2018-Nov-26;280.2667;-0.5918;0.542735442;4.891576699;-0.010328859;0.096726771;-0.534017104;0.542706492
2018-Nov-27;281.9887;-0.6911;0.558960918;4.921631268;-0.01206197;0.116098231;-0.546729416;0.558920256
2018-Nov-28;283.6149;-0.7843;0.574717118;4.950013813;-0.013688617;0.135272785;-0.558515131;0.574663274
2018-Nov-29;285.1555;-0.872;0.590017022;4.976902355;-0.015219271;0.154235949;-0.56943018;0.589948691
2018-Nov-30;286.6195;-0.9548;0.604873166;5.002453975;-0.016664404;0.172978478;-0.579524287;0.604789181
